Código de Programación;Propiedad;Tipo Muestras;Uso Previsto;No Caja;Ubicación;Condición Almacenamiento;Nombre;Potencia;Fabricante;Lote;Catalogo;Fecha de Ingreso;Fecha de Vencimiento;Unidad;Presentación;Existencia Total;Cantidad Mínima;Color Refuerzo;Certificado Analítico;Ficha de Seguridad;Factura de compra;Código del Sistema
SRPR184;West Química (Fisicoquímico);Medicamentos;Valoración HPLC;4N;NEVERA;Proteger de la luz. Refrigerador. Este material es higroscópico;Chlorhexidine System Suitability Mixture;Cualitativo ;USP;R14920;1111012;2025-09-10;Vigente;mg;50 mg;30,0;12,5;Blanco;SI;SI;NO;West Quimica 
SRPR185;ECAR;Medicamentos;limite ;3C;CABINA;Proteger de la luz. Después de abierto guardar en un contenedor cerrado herméticamente bajo gas inerte.;Orlistat Related Compound E;;;;;;;mg;10 mg;0,0;2,5;Verde;SI;SI;NO;ECAR
SRPR188;Megalabs;Fito terapéutico;valoración;2F1;FREEZER;Protegido de la luz. Cierre hermético.Material Higroscópico.;Ginkgo Terpene Lactones;VER CERTIFICADO;USP;R088U0;1291559;2020-06-01;Vigente;mg;50mg;12,7;12,5;Verde;SI;SI;NO;004-001-239
SRPR192;CECIF;Medicamentos;Impurezas orgánicas I.O;5N;NEVERA;Cierre hermético. En desecador dentro del refrigerador. Este material es higroscópico.;Levocarnitine Related Compound A;;;;;;;mL;100 mg;0,0;25,0;Verde;SI;SI;NO;
SRPR200;Syntofarma;Medicamentos;Infrarrojo (IR). STD Cuantitativo;15N;NEVERA;Cierre hermético. Proteger de la luz. Refrigerador.;Cefaclor;;;;;;;mg;10 mg;0,0;25,3;Azul;NO;NO;NO;Syntofarma 
SRPR202;CECIF;;;2F;FREEZER;Cierre hermético. Protegido de la luz. Congelador.  ;Tacrolimus;;;;;;;;;0,0;37,5;;;;;309202
SRPR204;Syntofarma;Medicamentos;Valoración;6N;NEVERA;Cierre hermético. Proteger de la luz. Refrigerador.;2-Tert-Butyl-4-Hydroxyanisole;99,8%;USP;R07460;1083008;2023-08-30;Vigente;mg;200 mg;187,8;50,0;AZUL;SI ;SI;NO;Syntofarma 
SRPR205;ALTECH;;;5N;NEVERA;Cierre hermético. Proteger de la luz. Refrigerador.;Phenylephrine Related Compound D (Fenilefrina Compuesto Relacionado D);;;;;;;;;0,0;7,5;;;;;
SRPR206;ALTECH;Medicamentos;Impurezas orgánicas I.O;5N;NEVERA;Cierre hermético. Proteger de la luz. Refrigerador.;Phenylephrine Related Compound E (Fenilefrina Compuesto Relacionado E);;;;;;;;;0,0;7,5;Blanco;SI;SI;NO;
SRPR207;LifeFactors;Medicamentos;Valoración, Impurezas orgánicas;5N;NEVERA;Cierre hermético. Refrigerador.;Acido Caprilico (Caprylic Acid);;;;;;;mg;300 mg;0,0;7,8;Blanco;SI;SI;NO;Cliente
