Código de Programación;Propiedad;Tipo Muestras;Uso Previsto;No Caja;Ubicación;Condición Almacenamiento;Nombre;Potencia;Fabricante;Lote;Catalogo;Fecha de Ingreso;Fecha de Vencimiento;Unidad;Presentación;Existencia Total;Cantidad Mínima;Color Refuerzo;Certificado Analítico;Ficha de Seguridad;Factura de compra;Código del Sistema
SRPR319;Healthy América  ;Alimentos y/o Suplementos;Valoración (STD CUALITATIVO);2N;NEVERA;Cierre hermético  Proteger de la luz. Refrigerador;Vitamina D Assay System Suitability;;;;;;;mg;1500 mg ;0,0;375,0;Verde;SI;SI;NO;Healthy America 
SRPR320;Bausch Health ;Medicamentos;Valoración ;5 C;CABINA;Cierre hermético  Proteger de la luz;Risperidona ;;;;;;;mg;100 mg ;0,0;50,0;Azul;SI ;SI ;NO ;Cliente 
SRPR321;"West Química
 (Estabilidad y Validaciones West) ";Medicamentos;Valoración ;2N;NEVERA;Cierre hermético Proteger de la luz bien refrigerado ;P-CHOROANILINE;100%;USP ;R148T0;1111908;2023-10-26;Vigente ;mg;200 mg;103,2;50,0;Azul;SI ;SI ;NO ;West Quimica 
SRPR322;West Química EV West;Medicamentos;Valoración y Límite de p-Cloroanilina;2N;NEVERA;Manipular en un lugar seco. Cierre hermético. Proteger de la luz. Refrigerado ;CLORHEXIDINE ACETATE ;97%;USP;R213E0;1111103;2026-06-17;Vigente ;mg;200 mg;200,0;50,0;Azul;SI ;SI ;NO;West Quimica 
SRPR323;Syntofarma;Medicamentos;Valoración ;6N;NEVERA;Proteger de la luz. Refrigerador +5°C ± 3°C;Butylhydroxyanisole CRS;Ver Certificado;EP ;5;B1212000;2023-11-10;Vigente ;mg;60 mg ;29,6;15,0;Azul;SI ;SI ;NO ;Syntofarma 
SRPR324;Bausch Health ;Medicamentos;I-O ;6 N;NEVERA;Cierre hermético , Proteger de la luz, Higroscopico, refrigerado ;Ezetimibe System Suitability Mixture;;;;;;;mg;20 mg ;0,0;15,0;Verde;SI ;SI ;NO;Cliente 
SRPR325;Syntofarma;Medicamentos;I-O- C Valoración;6C;CABINA;Cierre hermético. Mantener bien cerrado ;Cefalexina; 99,9%;USP ;R118P0;1099008;2025-02-20;Vigente ;mg;400 mg ;313,9;15,0;Azul;SI ;SI ;N/A;Syntofarma 
SRPR326;Bausch Health ;Medicamentos;Valoración ;4C;CABINA;Mantener bien cerrado.Proteger de la luz ;Ritonavir ;99,8%;USP ; R16000;1604803;2024-06-19;Vigente ;mg;200 mg ;217,5;50,0;Verde;SI ;SI ;N/A;Bausch Health 
SRPR327;Bausch Health ;Medicamentos;Valoración ;4C;CABINA;Mantener bien cerrado.Proteger de la luz ;Ritonavir Related Compounds Mixture ;Cualitativo ;USP ;R144E0;1604814;2024-06-19;Vigente ;mg;50 mg ;9,7;12,5;Verde;SI ;SI ;N/A;Bausch Health 
SRPR328;Bausch Health ;Medicamentos;Valoración ;4N;NEVERA;"
Refrigerador  2 °C a 8 °C";Fluvoxamine Maleate Impurity Standard;Cualitativo ; BP;3099;671;2024-07-19;Vigente ;mg;100 mg;67,8;12,5;Azul ;SI ;SI ;N/A;Bausch Health 
SRPR329;Bausch Health ;Medicamentos;Valoración ;4 N;NEVERA;"
Refrigerador  2 °C a 8 °C";Fluvoxamine Impurity D;Cualitativo ;BP ;3912;1190;2024-07-19;Vigente ;mg;25 mg;23,0;12,5;Verde;SI ;SI ;N/A;Bausch Health 
SRPR330;Nutrabiotics ;Medicamentos;Valoración ;2 C ;CABINA;Proteger de la luz- mantener en envase bien cerrado.  ;L-Tyrosine ;;;;;;;mg;500 mg;0,0;62,5;Verde;SI ;SI ;NO;Nutrabiotics 
SRPR331;Nutrabiotics ;Medicamentos;Valoración ;6 N;NEVERA;;L-Phenylalanine;;;;;;;mg;;0,0;25,0;Verde;;;;Nutrabiotics 
SRPR332;Bausch Health ;Medicamentos;"Valoración 
(Sustancia controlada por FNE)";8C;CABINA;Mantener en envase bien cerrado-Proteger de la luz. ;Dihydrocodeine Bitartrate CII;99,8%;USP;J1K044;1200804;2024-08-28;Vigente ;mg;200 mg ;17,3;12,5;Verde;SI ;SI ;NO;Bausch Health 
SRPR333;Bausch Health ;Medicamentos;Valoración - UC;4C;CABINA;Mantener en envase bien cerrado-Proteger de la luz. ;Bisacodyl;99,6%;USP;R16070;1074007;2024-10-08;Vigente ;mg;125 mg;75,0;31,3;Verde;SI;SI;NO;Bausch Health 
SRPR334;Nutrabiotics Fisicoquimico. ;Medicamentos;Valoración ;7N;NEVERA;Almacenar en lugar seco y oscuro a una temperatura de <+8 °C;Harpagóside ;97,1%;Extrasynthese;25;0229 S;2025-10-29;2029-04-30;mg;20 mg;15,4;10,0;Azul ;SI;SI;N/A;Nutrabiotics 
SRPR335;Bausch Health ;Medicamentos;Valoración ;1C;CABINA;Mantener en envase bien cerrado-Proteger de la luz. ;Zidovudine Related Compound C;100% ;USP ;R01930;1724532;2025-01-07;Vigente ;mg;100 mg ;70,6;25,0;Verde ;SI;SI;N/A;Bausch Health 
SRPR336;Bausch Health ;Medicamentos;Valoración (Sustancia controlada por FNE);1C;CABINA;Almacenar en un contenedor bien cerrado y protegido de la luz. ;Methotrimeprazine;100% ;USP ;R151C0;1415006;2024-10-21;Vigente ;mg;200 mg ;57,9;50,0;Azul ;SI;SI;N/A;Bausch Health 
SRPR337;Megalabs;Medicamentos;Valoración ;1C;CABINA;Una vez abierto, guárdelo en un recipiente bien cerrado y protéjalo de la luz.;Phenoxyethanol ;99,8%;USP ;R121U0;1526200;2024-10-22;Vigente ;mg;500 mg ;252,1;125,0;Verde;SI;SI;N/A;Megalabs 
SRPR338;Bausch Health ;Medicamentos;Valoración ;1 C;CABINA;Manipular por debajo del 60% de humedad relativa, mantener el envase bien cerrado. ;Sucrose;;;;;;No Hay;mg ;;0,0;16,3;Verde;SI ;SI ;NO;Bausch Health 
SRPR339;Bausch Health ;;;;;;Anhydrous Lactose ;;;;;;;mg;;0,0;15,3;Verde;;;;Bausch Health 
SRPR340;Bausch Health ;Medicamentos;Valoración ;5 N;NEVERA;Mantener en el recipiente original, proteger de la luz , mantener siempre en cadena de frio (+5°C±+3°C). ;Fructose ;100% ;EP ;2.0;F0550000;2024-11-01;Vigente ;mg;100 mg ;100,0;25,0;Verde;SI ;SI ;NO;Bausch Health 
SRPR341;Bausch Health ;Medicamentos;Valoración (Sustancia controlada por FNE) ;1 C;CABINA;Almacenar en un contenedor bien cerrado. ;Clozapine ;99,8%;USP;R124A0;1142107;2025-03-27;Vigente ;mg;100 mg ;71,2;0,0;Verde;SI ;SI ;NO;Bausch Health 
SRPR342;Bausch Health ;Medicamentos;Valoración ;3.N;NEVERA;Almacenar en un contenedor bien cerrado y protegido de la luz y guardar en refrigeración ;Aripiprazole Related Compound G;Uso Cualitativo;USP;R131K0;1042690;2024-12-10;Vigente ;mg;10 mg ;20,1;2,5;Verde;SI ;SI ;NO;Bausch Health 
SRPR343;Bausch Health ;Medicamentos;Valoración ;3.N;NEVERA;Almacenar protegido de la luz y guardar en refrigeración ;Aripiprazole Related Compound F;Uso Cualitativo;USP;R079V0;1042689;2024-12-10;Vigente ;mg;10 mg;20,1;2,5;Verde;SI ;SI ;NO;Bausch Health 
SRPR344;Bausch Health ;Medicamentos;Valoración ;7C;CABINA;Después de abierta la ampolla almacenar en un recipiente bien cerrado en un desecador;Ethylene Glycol;100%;USP;R211M0;1265515;2025-01-02;Vigente ;mL;0,5 ml;0,5;0,1;Verde;SI ;SI ;NO ;Bausch Health 
SRPR345;Bausch Health ;Medicamentos;Valoración ;7C;CABINA;Después de abierta la ampolla almacenar en un recipiente bien cerrado en un desecador;Diethylene Glycol;100%;USP;R147W0;1193265;2025-01-02;2027-02-28;ml;0,2 ml ;0,4;0,1;Verde- Azul;SI ;SI ;NO ;Bausch Health 
SRPR346;Bausch Health ;Medicamentos;Valoración ;7.C;CABINA;Después de abierta la ampolla almacenar en un recipiente bien cerrado en un desecador;Butane -1,3- Diol ;;;;;;;mg;1 ml;0,0;0,3;Verde;SI ;SI ;NO ;Bausch Health 
SRPR347;Ophtha;Medicamentos;Valoración ;1.N;NEVERA;Almacenar en un contenedor bien cerrado y guardar en refrigeración. ;Meloxicam ;99,8%;USP;R11690;1379401;2025-01-17;Vigente ;mg;400 mg;124,7;100,0;Azul ;SI ;SI ;NO ;Ophtha
SRPR348;Bausch Health ;Medicamentos;Valoración HPLC - Disolución;4N;NEVERA;Almacenar en un contenedor bien cerrado. Material Higroscópico y guardar en refrigeración. ;Atazanavir Sulfate ;99,6% ;USP;R145Q0;1044334;2025-02-11;Vigente ;mg;200 mg;38,0;100,0;Azul - Blanco;SI ;SI ;NO ;Bausch Health 
SRPR349;Bausch Health ;Medicamentos;ID (tR) -Valoración HPLC - Disolución;7C;CABINA;Almacenar en un contenedor bien cerrado. Proteger de la luz.;Efavirenz;99,7%;USP;R09740;1234103;2025-03-04;Vigente ;mg;200 mg;619,5;200,0;Verde- Azul;SI;SI;NO;Bausch Health 
SRPR350;Bausch Health ;Medicamentos;ID (tR) -Valoración HPLC - Disolución;2N;NEVERA;Almacenar en un contenedor bien cerrado. Proteger de la Luz. Material Higroscópico y guardar en refrigeración. ;Valsartán;99,7%;USP;R14830;1708762;2025-03-04;2026-08-31;mg;350 mg;414,8;175,0;Azul ;SI;SI;NO;Bausch Health 
SRPR351;Nutrabiotics EV. ;Medicamentos;Valoración ;7N;NEVERA;Almacenar en lugar seco y oscuro a una temperatura de <+8 °C;Harpagóside ;97,1%;Extrasynthese;25;0229 S;2025-09-02;2029-04-30;mg;20 mg;110,9;10,0;Azul ;SI;SI;N/A;Nutrabiotics 
SRPR352;Bausch Health ;Medicamentos;Contenido de Anilina, 2-Aminofenol y 4-Aminofenol;4.N;NEVERA;Mantener en el envase original. Proteger de la luz.  Refrigerador  +5°C ± 3°C.;Mesalazine Impurity C CRS ( 2-Aminofenol) ;Ver Certificado;EP ;2;Y0001569;2025-04-02;Vigente ;mg;15 mg;59,8;12,5;Azul ;SI;SI;NO;Bausch Health 
SRPR353;Bausch Health ;Medicamentos;Contenido de Anilina, 2-Aminofenol y 4-Aminofenol;7.C ;CABINA;Proteger de la luz, después de abierto almacenar el material en un recipiente herméticamente cerrado bajo un gas inerte ;4- Aminophenol ;100%;USP ;R136K0;1021204;2025-04-02;Vigente ;mg;100 mg;79,4;12,5;Azul ;SI;SI;NO;Bausch Health 
SRPR354;Bausch Health ;Medicamentos;Contenido de Anilina, 2-Aminofenol y 4-Aminofenol;2.C;CABINA;Proteger de la luz;Aniline;100%;USP ;R090N0;1036110;2025-04-02;Vigente ;mg;250 mg;195,4;12,5;Azul ;SI;SI;NO;Bausch Health 
SRPR355;Syntofarma;Medicamentos;Valoración ;2F1;FREEZER;Mantener el contenedor bien cerrado. Protegido de la luz. Almacenar en Freezer;Cefadroxil ;94,7%;USP;R14310;1097104;2025-04-09;Vigente;mg;200 mg ;63,0;12,5;Azul ;SI;SI;NO;Syntofarma 
SRPR356;CECIF;Medicamento ;Valoración ;6.N;NEVERA;Mantener el contenedor bien cerrado. Almacenar en refrigerador. Mantener alejado de los álcali.  ;Metformin Hydrochloride;99,8% ;USP;R178B0;1396309;2025-04-08;Vigente;mg;200 mg ;6,4;12,5;Verde;SI;SI;SI ;3356112
SRPR357;Nutrabiotics;Medicamento ; Valoración - Impurezas organicas (Remsol);2F1;FREEZER;-20°C o mas frio;Cannabidiol Standard ;;;;;;;mg;;0,0;0,3;Azul ;;;SI ;3357113
SRPR358;Nutrabiotics;Medicamento ; Valoración - Impurezas organicas (Remsol);2F1;FREEZER;-10°C o mas frio ;Cannabinol Standard ;;;;34010;;;ml;1 ml ;0,0;0,3;Azul ;;;;3358114
SRPR359;CECIF;Metrología ;Equipo de DSC;5.1;Estante ;Almacenar a tempertura Ambiente;Zinc Pills ;99,995%;Fluorsid ;WE 18418;´00119441;2025-05-07;2027-04-30;mg ;1 Caja;1048,5;0,0;Verde;SI ;SI;NO ;Donación 
SRPR360;CECIF;Metrología ;Equipo de DSC;5.1;Estante ;Almacenar a tempertura Ambiente;Indium Pills ;99,999%;Fluorsid ;WE18372;´00119442;2025-05-07;2027-06-30;mg;1 Caja ;1177,5;0,0;Verde;SI;SI ;NO ;Donación 
SRPR361;ECAR;Medicamento ;Valoración;3C;CABINA;Mantener en un recipiente cerrado;Ketoconazole;99,8%;USP;R134A0;1356508;2025-05-09;Vigente;mg;200 mg;1,2;25,0;Azul;SI;SI;NO;Cliente
SRPR362;Lelve;Medicamento ;Valoración;6C;CABINA;Material higroscópico. Mantener el contenedor bien cerrado. ;Magnesium Sulfate ;100%;USP;R212H0;1374361;2025-05-23;Vigente;mg;1000 mg;1297,4;250,0;Verde;SI;SI;SI ;3359115
SRPR363;Bausch Health EV;Medicamento ; Valoración - Impurezas organicas. ;2.N;NEVERA;Mantener en un recipiente cerrado, Proteger de la luz. Almacenar en refrigerador.;Lamotrigine Related Compound C ;99,0%;USP;R163P0;1356789;2025-05-28;Vigente ;mg;10 mg;44,1;1,3;Verde;SI;SI;NO ;Bausch Health 
SRPR364;Nutrabiotics Fisicoquimico. ;Medicamento ; Valoración - Impurezas organicas. ;8.N;NEVERA;valoración e Impurezas Orgánicas para MT Cannabidiol (CBD) y PT Remsol;Delta-8-Tetrahydrocannabinol (THC) Standard ;Ver certificado ;RESTEK;A0223277;34090;2025-06-10;2027-03-31;mL;1 mL;1,8;1,3;Azul ;SI;SI;SI ;3359116
SRPR365;Nutrabiotics Fisicoquimico. ;Medicamento ; Valoración - Impurezas organicas. ;8.N;NEVERA;valoración e Impurezas Orgánicas para MT Cannabidiol (CBD) y PT Remsol;Delta-9-(THC) Standard ;Ver certificado ;RESTEK;A0219382;34067;2025-06-10;2026-11-30;mL;1 mL;1,8;0,3;Azul ;SI;SI;SI ;3359117
SRPR366;Nutrabiotics Fisicoquimico. ;Medicamento ;valoración e Impurezas Orgánicas para MT Cannabidiol (CBD) y PT Remsol;2F3;FREEZER;-20°C ;THCA-A- Standard ;Ver certificado ;RESTEK;´0710104;34111;2025-06-10;2027-05-17;mL;1 mL;1,8;0,3;Rojo;SI;SI;SI ;3359118
SRPR367;Nutrabiotics Estabilidad y Validaciones ;Medicamentos;Valoración ;7N;NEVERA;Almacenar en lugar seco y oscuro a una temperatura de <+8 °C;Harpagóside ;;;;;;;mg;;0,0;5,0;Azul ;;;N/A;Nutrabiotics 
SRPR368;Nutrabiotics EV. ;Medicamentos;Identificación por TLC;3C;CABINA;Mantener en un recipiente cerrado;Tromethamine;Cualitativo ;USP;R104D0;1698002;2025-06-26;2026-07-31;mg;125 mg;125,0;25,0;Verde;SI;SI;N/A;3359119
SRPR369;Syntofarma (Proyecto MAMUT) - Proyecto Cefadroxilo PPSO;Medicamentos;Sustancias Relacionadas Cefadroxilo;1N;NEVERA;Refrigerador (2 a 8 °C);Cefadroxil;93,8%;BP ;4414;784;2025-06-27;Vigente;mg;100 mg;20,8;25,0;Azul ;SI;SI;NO;Syntofarma 
SRPR370;Syntofarma (Proyecto MAMUT) - Proyecto Cefadroxilo PPSO;Medicamentos;Sustancias Relacionadas Cefadroxilo;2N;NEVERA;Refrigerador (2 a 8 °C);7-AMINODESACETOXYCEPHALOSPORANIC ACID;100 %;BP;3109;011;2025-06-27;Vigente;mg;20 mg;0,0;5,0;Azul ;SI;SI;NO;Syntofarma 
SRPR371;Syntofarma (Proyecto MAMUT) - Proyecto Cefadroxilo PPSO;Medicamentos;Sustancias Relacionadas Cefadroxilo;7N;NEVERA;Refrigerador (2 a 8 °C);(D-α-(4-HYDROXYPHENYL)GLYCINE);100 %;BP;2941;829;2025-06-27;Vigente;mg;50 mg;0,0;12,5;Verde;SI;SI;NO;Syntofarma 
SRPR372;Syntofarma (Proyecto MAMUT) - Proyecto Cefadroxilo PPSO;Medicamentos;Cuantificación de Metilparabeno ;7C;CABINA;Mantener en un lugar cerrado. Proteger de la Luz.;METHYLPARABEN;99,8%;USP;R098B0;1432005;2025-06-27;Vigente;mg;125 mg;120,6;31,3;Verde;SI;SI;NO;Syntofarma 
SRPR373;Syntofarma (Proyecto MAMUT)- Proyecto Amoxicilina Cápsulas;Medicamentos;I.O en el PT Amoxicilina Cápsulas x 500 mg;2N;NEVERA;Refrigerador (2 a 8 °C);Amoxicillin Trihydrate ;85,7%;BP;4594;19;2025-07-04;2026-06-27;mg;500 mg;0,0;125,0;Azul ;SI;SI;NO;Syntofarma 
SRPR374;Syntofarma (Proyecto MAMUT) - Proyecto Amoxicilina Cápsulas;Medicamentos;I.O en el PT Amoxicilina Cápsulas x 500 mg;1N;NEVERA;Refrigerador (2 a 8 °C);Cefadroxil;93,8%;BP ;4414;784;2025-07-04;Vigente;mg;100 mg;144,4;50,0;Azul ;SI;SI;NO;Syntofarma 
SRPR375;Syntofarma (Proyecto MAMUT) - Proyecto Amoxicilina Cápsulas;Medicamentos;Valoración de Amoxicilina Cápsulas;2F1;FREEZER;Mantener en un recipiente cerrado. Proteger de la luz. Almacenar en freezer;Amoxicillin;86,9%;USP;R106H0;1031503;2025-07-08;2026-08-31;mg;200 mg;0,0;50,0;Azul ;SI;SI;NO;Syntofarma 
SRPR376;Syntofarma (Proyecto MAMUT) - Proyecto Dicloxacilina 250 mg /5 mL PPSO;Medicamentos;I.O en el PT Dicloxacilina 250 mg /5 mL PPSO;2F1;FREEZER;Mantener en un recipiente cerrado. Proteger de la luz. Almacenar en freezer. Material Higroscópico. Manejar una humedad relativa por debajo de 30%. ;Dicloxacillin Sodium;;USP;;1189009;;;mg;300 mg;0,0;75,0;Azul ;;;NO;Syntofarma 
SRPR377;Syntofarma (Proyecto MAMUT) - Proyecto Dicloxacilina 250 mg /5 mL PPSO;Medicamentos;I.O en el PT Dicloxacilina 250 mg /5 mL PPSO;7N;NEVERA;Mantener en un recipiente cerrado. Proteger de la luz. Almacenar en refrigerador;Dicloxacillin Related Compound D;Cualitativo ;USP;F01780;1189053;2025-07-08;2026-12-31;mg;15 mg;9,9;3,8;Verde;SI;SI;NO;Syntofarma 
SRPR378;Syntofarma (Proyecto MAMUT) - Proyecto Dicloxacilina 250 mg /5 mL PPSO;Medicamentos;Cuantificación de Metilparabeno ;2C;CABINA;Mantener en un recipiente cerrado. Proteger de la luz. ;Methylparaben;99,8%;USP;R098B0;1432005;2025-07-08;Vigente;mg;125 mg;205,4;31,3;Verde;SI;SI;NO;Syntofarma 
SRPR379;Bausch Health ;Medicamentos; Valoración, ID A y B, disolución e impurezas orgánicas de Mesalamina, en el producto terminado Mesalamina Supositorios;2C;CABINA;Mantener en un recipiente cerrado. Proteger de la luz. ;Mesalamine;99,9%;USP;R001T0;1392705;2025-07-17;Vigente;mg;200mg;389,0;50,0;Verde;SI;SI;NO;Bausch Health 
SRPR380;Bausch Health ;Medicamentos; Valoración, ID A y B, disolución e impurezas orgánicas de Mesalamina, en el producto terminado Mesalamina Supositorios;3N;NEVERA;Mantener en un recipiente cerrado. Proteger de la luz. ;3-Aminosalicylic Acid ;Cualitativo ;USP;F18180;1026412;2025-07-17;Vigente;mg;15mg;75,0;3,8;Verde;SI;SI;NO;Bausch Health 
SRPR381;Syntofarma (Proyecto MAMUT) - Proyecto  Amoxicilina 125 mg y Ácido Clavulánico 31,25 mg PPSO;Medicamentos;I.O de Amoxicilina y Ácido clavulánico en el PTAmoxicilina 125 mg y Ácido Clavulánico 31,25 mg PPSO;8N;NEVERA;Refrigerador (2 a 8 °C);Cefadroxil;93,8%;BP;4414;784;2025-07-24;Vigente;mg;100 mg;143,9;25,0;Azul ;SI;SI;NO;Syntofarma 
SRPR382;Syntofarma (Proyecto MAMUT) - Proyecto  Amoxicilina 125 mg y Ácido Clavulánico 31,25 mg PPSO;Medicamentos;I.O de Amoxicilina y Ácido clavulánico en el PTAmoxicilina 125 mg y Ácido Clavulánico 31,25 mg PPSO;8N;NEVERA;Refrigerador (2 a 8 °C);Amoxicillin Trihydrate ;85,7%;BP;4594;19;2025-07-24;;mg;500 mg;0,0;125,0;Azul ;SI;SI;NO;Syntofarma 
SRPR383;Syntofarma (Proyecto MAMUT) - Proyecto  Amoxicilina 125 mg y Ácido Clavulánico 31,25 mg PPSO;Medicamentos;I.O de Amoxicilina y Ácido clavulánico en el PTAmoxicilina 125 mg y Ácido Clavulánico 31,25 mg PPSO;8N;NEVERA;Mantener en el recipiente original de +5°C ± 3 °C. proteger de la luz.;Lithium Clavulanate CRS;97,1%;EP;9.0;L0720000;2025-07-24;Vigente;mg;125 mg;26,3;31,3;Azul ;SI;SI;NO;Syntofarma 
SRPR384;Syntofarma (Proyecto MAMUT) - Proyecto   Dicloxacilina 500 mg cápsulas;Medicamentos;I.O  de Dicloxacilina en Dicloxacilina 500 mg cápsulas;8N;NEVERA;Mantener en un recipiente cerrado. Proteger de la luz. Almacenar en Refrigerador;Dicloxacillin Related Compound D;Cualitativo ;USP;F01780;1189053;2025-07-24;2026-12-31;mg;15 mg;6,4;3,8;Verde;SI;SI;NO;Syntofarma 
SRPR385;Syntofarma (Proyecto MAMUT) - Proyecto   Dicloxacilina 500 mg cápsulas;Medicamentos;I.O  de Dicloxacilina en Dicloxacilina 500 mg cápsulas;2F2;FREEZER;Mantener en un recipiente cerrado. Proteger de la luz. Almacenar en freezer. Material Higroscópico. Manejar una humedad relativa por debajo de 30%. ;Dicloxacillin Sodium;;USP;;1189009;;;mg;300 mg;0,0;75,0;Azul ;;;NO;Syntofarma 
SRPR386;Nutrabiotics EV. ;Medicamentos;Verificación metodología de I.O para la materia prima SAL DE TROMETAMINA;8N;NEVERA;Mantener en el recipiente original de +5°C ± 3 °C. proteger de la luz.;Thioctic Acid Containing Impurity B CRS;Cualitativo ;EP;3.0;Y0000545;2025-08-22;Vigente ;mg;25 mg;54,8;6,3;Verde;SI;SI;NO;Nutrabiotics 
SRPR387;Nutrabiotics EV. ;Medicamentos;Verificación metodología de I.O para la materia prima SAL DE TROMETAMINA;8N;NEVERA;Mantener en el recipiente original de +5°C ± 3 °C. proteger de la luz.;Thioctic Acid CRS;99,9%;EP;3.0;Y0000546;2025-08-22;2026-06-30;mg;110 mg;0,0;27,5;Verde;SI;SI;NO;Nutrabiotics 
SRPR388;Nutrabiotics EV. ;Medicamentos;Verificación metodología de I.O para la materia prima SAL DE TROMETAMINA;8N;NEVERA;Mantener en el recipiente original de +5°C ± 3 °C. proteger de la luz.;Thioctic acid for system suitability CRS;Cualitativo ;EP;3.0;Y0000592;2025-08-22;Vigente ;mg;15mg;0,0;3,8;Verde;SI;SI;NO;Nutrabiotics 
SRPR389;Syntofarma (Proyecto MAMUT) - Proyecto   Amoxicilina 250mg/5mL PPSO y Amoxicilina 500 mg/5mL PPSO;Medicamentos;I.O de Amoxicilina en Amoxicilina 250mg/5mL PPSO y Amoxicilina 500 mg/5mL PPSO;9N;NEVERA;Refrigerador (2 a 8 °C);Amoxicillin Trihydrate ;85,7%;BP;4594;19;2025-09-09;2026-06-27;mg;500mg;0,0;125,0;Azul ;SI;SI;NO;Syntofarma 
SRPR390;Syntofarma (Proyecto MAMUT) - Proyecto   Amoxicilina 250mg/5mL PPSO y Amoxicilina 500 mg/5mL PPSO;Medicamentos;I.O de Amoxicilina en Amoxicilina 250mg/5mL PPSO y Amoxicilina 500 mg/5mL PPSO;9N;NEVERA;Refrigerador (2 a 8 °C);Cefadroxil;93,8%;BP;4414;784;2025-09-09;Vigente;mg;100mg;184,9;50,0;Azul ;SI;SI;NO;Syntofarma 
SRPR391;"West Química 
 (Estabilidad y Validaciones West)";Medicamentos;Valoración HPLC;4N;NEVERA;Proteger de la luz. Refrigerador. Este material es higroscópico;Chlorhexidine System Suitability Mixture;Cualitativo ;USP;R14920;1111012;2025-09-10;Vigente;mg;50 mg;50,0;12,5;Blanco;SI;SI;NO;West Quimica 
SRPR392;"Syntofarma (Proyecto MAMUT) - Proyecto impurezas orgánicas de Amoxicilina y Clavulanato Potásico, en el producto terminado Amoxicilina 500mg + Ácido Clavulánico
125mg Tabletas y Amoxicilina 875mg + ácido clavulánico 125mg Tab ";Medicamentos;"I.O de de Amoxicilina y Clavulanato Potásico, en el producto terminado Amoxicilina 500mg + Ácido Clavulánico
125mg Tabletas y Amoxicilina 875mg + ácido clavulánico 125mg Tab ";5N;NEVERA;Refrigerador (2 a 8 °C);Cefadroxil;93,8%;BP;4414;784;2025-09-11;Vigente;mg;100mg;95,1;25,0;Azul ;SI;SI;NO;Syntofarma 
SRPR393;"Syntofarma (Proyecto MAMUT) - Proyecto impurezas orgánicas de Amoxicilina y Clavulanato Potásico, en el producto terminado Amoxicilina 500mg + Ácido Clavulánico
125mg Tabletas y Amoxicilina 875mg + ácido clavulánico 125mg Tab ";Medicamentos;"I.O de de Amoxicilina y Clavulanato Potásico, en el producto terminado Amoxicilina 500mg + Ácido Clavulánico
125mg Tabletas y Amoxicilina 875mg + ácido clavulánico 125mg Tab ";5N;NEVERA;Refrigerador (2 a 8 °C);Amoxicillin Trihydrate ;85,7%;BP;4594;19;2025-09-11;2026-06-27;mg;500 mg;0,0;125,0;Azul ;SI;SI;NO;Syntofarma 
SRPR394;"Syntofarma (Proyecto MAMUT) - Proyecto impurezas orgánicas de Amoxicilina y Clavulanato Potásico, en el producto terminado Amoxicilina 500mg + Ácido Clavulánico
125mg Tabletas y Amoxicilina 875mg + ácido clavulánico 125mg Tab ";Medicamentos;"I.O de de Amoxicilina y Clavulanato Potásico, en el producto terminado Amoxicilina 500mg + Ácido Clavulánico
125mg Tabletas y Amoxicilina 875mg + ácido clavulánico 125mg Tab ";5N;NEVERA;Mantener en el recipiente original de +5°C ± 3 °C. proteger de la luz.;Lithium Clavulanate CRS;97,1%;EP;9.0;L0720000;2025-09-11;Vigente;mg;125 mg;367,5;93,8;Azul ;SI;SI;NO;Syntofarma 
SRPR395;Syntofarma (Proyecto MAMUT) - Impurezas orgánicas por HPLC-UV de cefalexina según BP, en el producto terminado Cefalexina Cápsulas;Medicamentos;Impurezas orgánicas por HPLC-UV de cefalexina según BP, en el producto terminado Cefalexina Cápsulas;8N;NEVERA;Refrigerador (2 a 8 °C);7-AMINODESACETOXYCEPHALOSPORANIC ACID;100 %;BP;3109;011;2025-10-07;Vigente;mg;20 mg;0,0;5,0;Azul ;SI;SI;NO;Syntofarma 
SRPR396;Syntofarma (Proyecto MAMUT) - Impurezas orgánicas por HPLC-UV de cefalexina según BP, en el producto terminado Cefalexina Cápsulas;Medicamentos;Impurezas orgánicas por HPLC-UV de cefalexina según BP, en el producto terminado Cefalexina Cápsulas;8N;NEVERA;Mantener en el recipiente original de +5°C ± 3 °C. proteger de la luz.;Cefotaxime sodium CRS;Cualitativo ;EP;6;C0685000;2025-10-07;Vigente;mg;20 mg;25,5;25,0;Verde;SI;SI;NO;Syntofarma 
SRPR397;Syntofarma (Proyecto MAMUT) -  Impurezas orgánicas por HPLC-UV de cefalexina según USP para la  cuantificación de Metilparabeno , en el producto terminado Cefalexina PPSO;Medicamentos;Impurezas orgánicas por HPLC-UV de cefalexina según BP  para la  cuantificación de Metilparabeno , en el producto terminado Cefalexina PPSO;1C;CABINA;Mantener en un recipiente cerrado. Proteger de la luz. ;Methylparaben;99,8%;USP;R098B0;1432005;2025-11-07;Vigente;mg;125 mg;522,8;31,3;Verde;SI;SI;NO;Syntofarma 
